PET,Times,Weights,FC,TC,STR,THA,WB,CBL,StartTime,Duration
jdcs_1,199.0,0.905851,355.821382435616,306.28699584335664,337.51557721936666,340.4445715798231,288.99553700045874,337.5268004540062,189.0,20.0
jdcs_1,224.0,0.906524,346.26272457027085,303.3462336588885,330.0230607007341,325.70372233127557,288.1086511410027,334.4440788835264,209.0,30.0
jdcs_1,254.0,0.906495,343.5509777128075,305.86548320492324,340.7706506245892,315.0069150807373,286.9075614898256,336.43100579395787,239.0,30.0
jdcs_1,284.0,0.906463,348.6531204606681,309.36498805509603,332.3627020422301,339.49607373507075,288.2082229064293,332.85351378438963,269.0,30.0
jdcs_1,314.0,0.906447,341.4757418306957,298.1223246280025,338.07238116675734,324.48421748568416,285.00896730741715,322.9498848899821,299.0,30.0
jdcs_1,359.0,0.909787,344.2741580732582,301.36682674202683,330.8662274507072,328.1720824581055,281.9564876895587,323.96657715136695,329.0,60.0
jdcs_1,419.0,0.909654,335.9498386503473,291.2386373773607,319.75247292861104,311.46253272322326,275.6366192803906,309.84722722833425,389.0,60.0
jdcs_1,479.0,0.909493,328.8812958834982,289.76174850488684,320.844618603693,315.5659979108627,272.4396006594702,307.1468605220502,449.0,60.0
jdcs_1,539.0,0.909368,323.3119521361053,283.70215217570023,295.41438784348026,306.84339966143494,265.7971372954384,300.748961713578,509.0,60.0
jdcs_1,659.0,0.940021,310.17374357714874,275.59007898651413,288.40447700982344,296.3862975245059,255.15186803763885,290.9335016081187,569.0,180.0
jdcs_1,839.0,0.937108,290.1611306141587,259.3956915481751,263.45251680439634,288.56070676426975,240.6057652914118,271.58870602292853,749.0,180.0
jdcs_1,1019.0,0.934488,270.94485840807175,243.43971580269766,250.8328440573469,272.9018227946961,227.15065476653538,253.05256680094806,929.0,180.0
jdcs_1,1199.0,0.932126,253.23297899103753,229.77622346317887,225.17196652613373,270.6559031730092,214.15668351635586,236.9477559217022,1109.0,180.0
jdcs_1,1469.0,1.0,229.03341441635382,211.9638537052052,208.1450980309572,240.3793302696478,197.17961210124892,218.10552808951974,1289.0,360.0
jdcs_1,1829.0,0.985417,202.26815604972757,188.33241607425146,176.08049544475404,229.03013765292042,177.2910758190601,193.4415035937433,1649.0,360.0
jdcs_1,2189.0,0.972687,179.69960244813086,172.048306338252,165.28354838403268,206.7446906887941,161.60338445127908,174.9905684879251,2009.0,360.0
jdcs_1,2549.0,0.961519,163.68930940315252,159.0441736016247,145.20050975719724,190.8932912512931,150.62779641683545,161.33352921591046,2369.0,360.0
jdcs_1,2909.0,0.952442,150.79435042723594,144.62988688031427,129.14647165706992,181.64506015060616,138.3986982417373,149.76219287513433,2729.0,360.0
jdcs_1,3269.0,0.944941,137.12659704924206,137.03755803640811,125.34042711901787,165.52385389704628,130.349640262128,137.6637319274273,3089.0,360.0
jdcs_1,3629.0,0.938255,129.27006204534578,128.10288605430117,116.5475098512045,165.06892550433489,123.60322780055681,129.154488238545,3449.0,360.0
jdcs_1,3989.0,0.932789,120.89008399014168,117.77242328413948,112.19893271762797,155.59026460266327,116.80501828240139,119.10297712506508,3809.0,360.0
jdcs_1,4349.0,0.928305,114.54677715591698,111.8483796518646,101.03562841601581,141.27110039396845,110.67673106680806,116.36092142636963,4169.0,360.0
jdcs_1,4709.0,0.924308,112.13687067517473,108.13670351215167,96.74037004057323,132.18239343874706,107.44041495944262,108.48033252824823,4529.0,360.0
jdcs_1,5069.0,0.921119,105.39100769398766,103.6292178980775,89.00990953278689,125.53651373916372,103.09177143332515,105.619660221331,4889.0,360.0
jdcs_1,5429.0,0.91851,105.22521377606118,98.81728192369145,93.08856650724341,107.17597749113133,99.53762466357165,96.61082193228602,5249.0,360.0
jdcs_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jdcs_2,16.0,0.0,4.1448667157904754e-5,0.0,0.0,0.0,1.148067896145767e-5,0.0,11.0,10.0
jdcs_2,26.0,0.0,67.76451299068333,61.66816499023469,54.48899756504684,44.55835852620524,54.27080685985545,67.2860861025621,21.0,10.0
jdcs_2,36.0,0.818476,311.7704493829078,298.54136270046064,299.0394662510264,294.4356231696741,269.4617789943393,362.80808221099875,31.0,10.0
jdcs_2,46.0,0.818419,406.6203854958442,359.8135874767514,378.2367914931634,375.61078853080375,341.22358226075653,441.4720254271946,41.0,10.0
jdcs_2,56.0,0.818418,421.34716692477616,379.4439440747435,361.05543611979766,402.5847182554327,355.7286519044443,445.1865795300118,51.0,10.0
jdcs_2,66.0,0.818416,427.28781860161087,392.6783099430154,398.03906856319924,396.2057940412747,363.61691306858967,443.7815751272257,61.0,10.0
jdcs_2,76.0,0.818412,446.6833116011868,383.14950294920214,393.34714560634774,395.94527099855804,368.0356425243556,431.84748568443626,71.0,10.0
jdcs_2,86.0,0.818408,444.1614351222313,395.2487188829195,416.29899315758894,445.51441607562975,371.6992606808053,437.09749765348334,81.0,10.0
jdcs_2,101.0,0.819162,455.58289342981743,399.9796147383881,435.9433118427027,421.8914444826443,377.78097360859744,439.9590167105578,91.0,20.0
jdcs_2,121.0,0.819146,453.2621375783933,399.9274214316355,430.915324892161,428.3825767213431,376.4187820853072,434.0121798789253,111.0,20.0
